tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44005041701,31.04,33.12,39.79,95.62,8.13,66.04,61.46,19.38,42.71,91.04,3.13,10.21,6.46,59.38,31.04,29.79,46.46,67.29,44.79
44005041702,21.88,45.21,38.12,98.12,13.96,56.04,72.71,44.38,40.62,76.88,4.37,22.29,23.54,32.71,79.79,7.71,23.96,18.54,53.12
44007000101,87.29,54.38,37.29,52.29,94.38,30.21,88.54,98.54,30.63,90.62,0.63,7.71,6.04,3.13,7.71,29.37,35.21,7.29,98.96
44007000102,88.96,73.96,58.12,47.29,83.54,11.04,94.38,56.46,7.71,97.29,42.71,7.29,77.71,6.46,2.71,96.46,9.38,82.29,30.21
44007000200,98.12,86.88,54.79,81.04,81.88,16.04,51.88,47.29,38.12,68.54,51.04,66.88,2.71,39.38,6.88,84.38,26.88,76.04,71.04
44007000300,98.54,97.71,90.21,88.12,71.04,0.63,4.37,0.63,98.12,21.04,10.62,83.96,83.54,93.54,3.13,12.71,55.21,6.88,89.79
44007000400,97.29,84.79,33.12,78.54,67.29,15.21,88.96,92.29,56.88,53.96,94.38,65.62,2.29,83.96,4.37,31.88,4.79,13.54,83.54
44007000500,96.88,88.12,85.62,54.38,23.12,1.04,38.96,31.46,93.96,93.12,87.29,73.96,4.79,34.38,73.96,78.96,47.71,65.62,0.21
44007000600,94.38,91.04,4.37,98.96,91.88,65.21,36.88,99.38,61.46,99.79,80.62,8.13,92.71,4.79,27.71,4.37,12.29,98.96,0.63
44007000700,92.29,79.79,70.62,46.46,2.71,12.71,42.29,89.79,91.04,95.21,99.79,4.37,13.13,74.38,88.96,63.96,33.54,98.12,82.29
44007000800,83.12,1.88,99.79,6.04,78.54,34.38,5.63,3.54,88.54,87.29,36.88,43.96,78.54,11.46,83.96,83.12,51.46,25.21,54.38
44007000900,85.62,16.87,87.29,28.54,35.62,96.04,12.71,26.46,12.71,36.46,19.79,63.96,11.88,25.63,90.21,98.96,63.96,57.29,47.29
44007001000,86.88,65.62,65.62,84.79,34.79,99.38,3.96,8.13,9.79,4.79,92.29,19.79,49.79,4.37,80.62,99.79,83.12,3.96,3.96
44007001100,78.54,24.38,84.79,66.46,70.21,96.88,51.46,36.88,8.54,4.37,52.29,98.96,94.79,29.79,59.38,4.79,77.29,88.96,76.46
44007001200,93.96,70.62,50.62,26.04,1.46,14.79,91.04,98.12,41.46,66.88,89.38,93.96,7.71,13.13,36.04,95.21,16.04,98.54,14.79
44007001300,96.46,33.54,53.12,13.13,85.21,80.62,99.38,8.54,1.04,9.79,20.63,83.12,6.88,98.12,47.71,18.12,86.04,99.79,97.71
44007001400,99.38,64.79,48.12,33.54,97.29,33.54,98.96,4.37,2.71,22.29,22.71,74.38,3.13,93.12,12.29,30.63,84.38,2.71,40.21
44007001500,88.12,61.04,61.46,56.88,98.12,41.46,98.12,32.71,1.88,98.54,28.96,70.62,98.96,5.21,3.54,24.38,82.29,7.71,19.38
44007001600,98.96,93.96,28.54,42.71,49.79,1.46,77.29,5.21,13.96,7.71,1.04,96.46,39.38,13.96,32.29,96.04,45.21,94.79,99.79
44007001700,92.71,70.21,33.96,11.04,22.29,74.38,97.29,3.13,0.21,8.13,7.71,95.62,97.71,14.38,34.38,82.29,16.87,89.79,97.29
44007001800,89.79,76.46,43.96,23.12,60.62,21.46,80.62,63.54,28.96,10.21,21.88,4.79,78.12,3.96,51.88,76.88,2.29,93.12,96.88
44007001900,94.79,83.54,66.88,41.04,33.12,35.21,36.46,58.54,33.12,14.79,34.38,67.29,3.54,1.04,31.46,95.62,43.54,59.38,98.12
44007002000,88.54,73.12,52.71,17.71,15.21,19.38,37.71,96.04,71.88,23.12,11.46,59.38,31.88,6.04,96.04,91.88,14.79,99.38,31.88
44007002101,81.46,68.54,15.63,71.46,72.71,23.12,82.29,89.38,79.38,8.96,83.12,79.79,25.21,68.96,25.63,98.12,3.13,40.62,7.29
44007002102,90.62,81.04,8.13,71.04,73.54,43.12,87.29,76.46,56.46,6.88,91.88,60.62,39.79,98.54,81.46,22.71,1.04,76.46,31.04
